id,Player,height,weight,college,born,birth_city,birth_state
1041,James Ray,203,97,Jacksonville University,1957,New Orleans,Louisiana
1042,Billy Reid,196,86,University of San Francisco,1957,New York,New York
1043,Wayne Robinson,203,98,Virginia Polytechnic Institute and State University,1958,Greensboro,North Carolina
1044,Lorenzo Romar,185,79,University of Washington,1958,South Gate,California
1045,DeWayne Scales,203,94,Louisiana State University,1958,Dallas,Texas
1046,Craig Shelton,201,95,Georgetown University,1957,Washington,District of Columbia
1047,Jerry Sichting,185,76,Purdue University,1956,Martinsville,Indiana
1048,Larry Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
1049,Rory Sparrow,188,79,Villanova University,1958,Suffolk,Virginia
1050,John Stroud,201,97,University of Mississippi,1957,New Albany,Mississippi
1051,Carlos Terry,196,95,Winston-Salem State University,1956,Lexington,North Carolina
1052,Andrew Toney,190,80,University of Louisiana at Lafayette,1957,Birmingham,Alabama
1053,Ronnie Valentine,201,95,Old Dominion University,1957,Norfolk,Virginia
1054,Kiki Vandeweghe,203,99,"University of California, Los Angeles",1958,Wiesbaden,Germany
1055,Brett Vroman,213,99,"University of Nevada, Las Vegas",1955,Hollywood,California
1056,Hawkeye Whitney,201,104,Iowa State University,1939,Brooklyn,New York
1057,Michael Wiley,206,90,"California State University, Long Beach",1957,Long Beach,California
1058,James Wilkes,198,86,"University of California, Los Angeles",1953,Berkeley,California
1059,Jeff Wilkins,211,104,Illinois State University,1955,Chicago,Illinois
1060,Mike Woodson,196,88,Indiana University,1958,Indianapolis,Indiana
1061,Sam Worthen,196,88,Marquette University,1958,Brooklyn,New York
1062,Mark Aguirre,198,105,DePaul University,1959,Chicago,Illinois
1063,Danny Ainge,193,79,Brigham Young University,1959,Eugene,Oregon
1064,Carl Bailey,213,95,Tuskegee University,1958,Birmingham,Alabama
1065,Gene Banks,201,97,Duke University,1959,Philadelphia,Pennsylvania
1066,Rolando Blackman,198,86,Kansas State University,1959,Panama City,Panama
1067,Ray Blume,193,83,Oregon State University,1958,Valdosta,Georgia
1068,Alex Bradley,198,86,Texas Southern University,1953,Utica,Mississippi
1069,Charles Bradley,196,97,University of Wyoming,1959,Havre De Grace,Maryland
1070,Brad Branson,208,99,Southern Methodist University,1958,Harvey,Illinois
1071,Jim Brogan,193,83,West Virginia Wesleyan College,1958,Ardmore,Pennsylvania
1072,Roger Burkman,196,79,University of Louisville,1958,Indianapolis,Indiana
1073,David Burns,188,81,Saint Louis University,1958,Dallas,Texas
1074,Bobby Cattage,206,113,Auburn University,1958,Huntsville,Alabama
1075,Tom Chambers,208,99,University of Utah,1959,Ogden,Utah
1076,Joe Cooper,208,104,University of Colorado,1957,Houston,Texas
1077,Charles Davis,188,72,Wake Forest University,1949,New York,New York
1078,Kenny Dennard,203,99,Duke University,1958,King,North Carolina
1079,Mickey Dillard,190,77,Florida State University,1958,Hollywood,Florida
1080,John Douglas,188,77,University of Kansas,1956,Town Creek,Alabama
1081,Craig Dykema,203,86,"California State University, Long Beach",1959,Lakewood,California
1082,Franklin Edwards,185,77,Cleveland State University,1959,New York,New York
1083,Petur Gudmundsson,218,117,University of Washington,1958,Reykjavik,Iceland
1084,Glenn Hagan,183,77,St. Bonaventure University,1955,Sanford,Florida
1085,Steve Hayes,213,92,Idaho State University,1955,American Falls,Idaho
1086,Tracy Jackson,198,92,University of Notre Dame,1959,Rockville,Maryland
1087,Clay Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
1088,Frank Johnson,185,83,Wake Forest University,1958,Weirsdale,Florida
1089,Steve Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania
1090,Albert King,198,86,University of Maryland,1959,Brooklyn,New York
1091,Jeff Lamp,198,88,University of Virginia,1959,Minneapolis,Minnesota
1092,Rock Lee,193,87,University of Oregon,1952,Boston,Massachusetts
1093,Alton Lister,213,108,Arizona State University,1958,Dallas,Texas
1094,Lewis Lloyd,198,92,Drake University,1959,Philadelphia,Pennsylvania
1095,Kevin Loder,198,92,Alabama State University,1959,Cassopolis,Michigan
1096,Rudy Macklin,201,92,Louisiana State University,1958,Louisville,Kentucky
1097,John McCullough,193,86,University of Oklahoma,1956,Lima,Ohio
1098,Hank McDowell,206,97,University of Memphis,1959,Memphis,Tennessee
1099,Mike McGee,196,86,University of Michigan,1959,Tyler,Texas
1100,Kevin McKenna,196,88,Creighton University,1959,St. Paul,Minnesota
1101,Larry Nance,208,92,Clemson University,1959,Anderson,South Carolina
1102,Kurt Nimphius,208,98,Arizona State University,1958,Milwaukee,Wisconsin
1103,Mark Radford,193,86,Oregon State University,1959,Tacoma,Washington
1104,Ed Rains,201,86,University of South Alabama,1956,Ocala,Florida
1105,Kurt Rambis,203,96,Santa Clara University,1958,Cupertino,California
1106,Jeff Ruland,208,108,Iona College,1958,Bayshore,New York
1107,Danny Schayes,211,106,Syracuse University,1959,Syracuse,New York
1108,Jim Smith,206,102,Ohio State University,1958,Cleveland,Ohio
1109,Larry Spriggs,201,104,Howard University,1959,Cheverly,Maryland
1110,Isiah Thomas*,185,81,Indiana University,1961,Chicago,Illinois
1111,Ray Tolbert,206,102,Indiana University,1958,Anderson,Indiana
1112,Kelly Tripucka,198,99,University of Notre Dame,1959,Glen Ridge,New Jersey
1113,Elston Turner,196,86,University of Mississippi,1959,Knoxville,Tennessee
1114,Darnell Valentine,185,83,University of Kansas,1959,Chicago,Illinois
1115,Pete Verhoeven,206,97,"California State University, Fresno",1959,Hanford,California
1116,Jay Vincent,201,99,Michigan State University,1959,Kalamazoo,Michigan
1117,Danny Vranes,201,95,University of Utah,1958,Salt Lake City,Utah
1118,Buck Williams,203,97,University of Maryland,1960,Rocky Mount,North Carolina
1119,Herb Williams,208,109,Ohio State University,1958,Columbus,Ohio
1120,Garry Witts,201,86,College of the Holy Cross,1959,Elizabeth,New Jersey
1121,Al Wood,198,87,University of North Carolina,1958,Gray,Georgia
1122,Howard Wood,201,106,University of Tennessee,1959,Southhampton,New York
1123,Orlando Woolridge,206,97,University of Notre Dame,1959,Bernice,Louisiana
1124,Rich Yonakor,206,99,University of North Carolina,1958,Euclid,Ohio
1125,Dwight Anderson,190,83,University of Southern California,1960,Dayton,Ohio
1126,Richard Anderson,208,108,"University of California, Santa Barbara",1960,San Pedro,California
1127,John Bagley,183,83,Boston College,1960,Bridgeport,Connecticut
1128,Dave Batton,208,108,University of Notre Dame,1956,Baltimore,Maryland
1129,Lester Conner,193,81,Oregon State University,1959,Memphis,Tennessee
1130,Chubby Cox,188,81,University of San Francisco,1955,Philadelphia,Pennsylvania
1131,Terry Cummings,206,99,DePaul University,1961,Chicago,Illinois
1132,Quintin Dailey,190,81,University of San Francisco,1961,Baltimore,Maryland
1133,Mark Eaton,224,124,"University of California, Los Angeles",1957,Westminster,California
1134,Jerry Eaves,193,81,University of Louisville,1959,Louisville,Kentucky
1135,Keith Edmonson,196,88,Purdue University,1960,Gulfport,Mississippi
1136,Chris Engler,211,111,University of Wyoming,1959,Stillwater,Minnesota
1137,Bruce Flowers,203,102,University of Notre Dame,1957,Rochester,New York
1138,Sleepy Floyd,190,77,Georgetown University,1960,Gastonia,North Carolina
1139,Bill Garnett,208,99,University of Portland,1940,East St. Louis,Illinois
1140,John Greig,201,97,University of Oregon,1961,Sacramento,California
1141,Scott Hastings,208,106,University of Arkansas,1960,Independence,Kansas
1142,Rod Higgins,201,90,"California State University, Fresno",1960,Monroe,Louisiana
1143,Craig Hodges,188,86,"California State University, Long Beach",1960,Park Forest,Illinois
1144,Marc Iavaroni,203,95,University of Virginia,1956,Jamaica,New York
1145,Jim Johnstone,211,111,Wake Forest University,1960,New Canaan,Connecticut
1146,Hutch Jones,203,86,Vanderbilt University,1959,Buffalo,New York
1147,Clark Kellogg,201,102,Ohio State University,1961,Cleveland,Ohio
1148,Joe Kopicki,206,108,University of Detroit Mercy,1960,Warren,Michigan
1149,Fat Lever,190,77,Arizona State University,1960,Pine Bluff,Arkansas
1150,Cliff Levingston,203,95,Wichita State University,1961,San Diego,California
1151,Steve Lingenfelter,206,102,South Dakota State University,1958,Eau Claire,Wisconsin
1152,Dave Magley,203,91,University of Kansas,1959,South Bend,Indiana
1153,Mark McNamara,211,106,University of California,1959,San Jose,California
1154,Guy Morgan,203,92,Wake Forest University,1960,Virginia Beach,Virginia
1155,Ed Nealy,201,107,Kansas State University,1960,Pittsburg,Kansas
1156,Chuck Nevitt,226,98,North Carolina State University,1959,Cortez,Colorado
1157,Audie Norris,206,104,Jackson State University,1960,Jackson,Mississippi
1158,Eddie Phillips,201,102,University of Alabama,1961,Birmingham,Alabama
1159,Ricky Pierce,193,92,Rice University,1959,Dallas,Texas
1160,Charles Pittman,203,99,University of Maryland,1958,Rocky Mount,North Carolina
1161,Paul Pressey,196,83,University of Tulsa,1958,Richmond,Virginia
1162,Oliver Robinson,193,81,University of Alabama at Birmingham,1960,Birmingham,Alabama
1163,Walker Russell,196,88,Western Michigan University,1960,Pontiac,Michigan
1164,Mike Sanders,198,95,"University of California, Los Angeles",1960,Vidalia,Louisiana
1165,Russ Schoene,208,95,University of Tennessee at Chattanooga,1960,Trenton,Illinois
1166,Ed Sherod,188,77,Virginia Commonwealth University,1959,Richmond,Virginia
1167,Jose Slaughter,196,92,University of Portland,1960,Los Angeles,California
1168,Brook Steppe,196,88,Georgia Institute of Technology,1959,Chapel Hill,North Carolina
1169,Jeff Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
1170,Vince Taylor,196,81,Duke University,1960,Lexington,Kentucky
1171,Terry Teagle,196,88,Baylor University,1960,Broaddus,Texas
1172,David Thirdkill,201,88,Bradley University,1960,St. Louis,Missouri
1173,Corny Thompson,203,102,University of Connecticut,1960,Middletown,Connecticut
1174,LaSalle Thompson,208,111,University of Texas at Austin,1961,Cincinnati,Ohio
1175,Darren Tillis,211,97,Cleveland State University,1960,Dallas,Texas
1176,Linton Townes,201,86,James Madison University,1959,Richmond,Virginia
1177,Trent Tucker,196,87,University of Minnesota,1959,Tarboro,North Carolina
1178,Bryan Warrick,196,88,Saint Joseph's University,1959,Moses Lake,Washington
1179,Rory White,203,95,University of South Alabama,1959,Tuskegee,Alabama
1180,Dominique Wilkins*,201,90,University of Georgia,1960,Paris,France
1181,Rickey Williams,185,79,"California State University, Long Beach",1957,Buffalo,New York
1182,Rob Williams,190,85,West Virginia University,1944,Weirton,West Virginia
1183,James Worthy*,206,102,University of North Carolina,1961,Gastonia,North Carolina
1184,Jim Zoet,216,108,Kent State University,1953,Uxbridge,Canada
1185,Ken Austin,206,92,Rice University,1961,Los Angeles,California
1186,Thurl Bailey,211,97,North Carolina State University,1961,Washington,District of Columbia
1187,Randy Breuer,221,104,University of Minnesota,1960,Lake City,Minnesota
1188,Wallace Bryant,213,111,University of San Francisco,1959,Madrid,Spain
1189,Howard Carter,196,97,Louisiana State University,1961,Baton Rouge,Louisiana
1190,Carlos Clark,193,95,University of Mississippi,1960,Somerville,Tennessee
1191,Leroy Combs,203,95,Oklahoma State University,1961,Oklahoma City,Oklahoma
1192,Russell Cross,208,97,Purdue University,1961,Chicago,Illinois
1193,Darren Daye,203,99,"University of California, Los Angeles",1960,Des Moines,Iowa
1194,Clyde Drexler*,201,95,University of Houston,1962,New Orleans,Louisiana
1195,Craig Ehlo,198,81,Washington State University,1961,Lubbock,Texas
1196,Dale Ellis,201,92,University of Tennessee,1960,Marietta,Georgia
1197,Rod Foster,185,72,"University of California, Los Angeles",1960,Birmingham,Alabama
1198,John Garris,203,92,Boston College,1959,Bridgeport,Connecticut
1199,Mike Gibson,208,92,University of South Carolina Upstate,1960,Williamsburg County,South Carolina
1200,Stewart Granger,190,86,Villanova University,1961,Montreal,Canada
1201,Sidney Green,188,83,Duquesne University,1933,New York,New York
1202,Bob Hansen,198,86,University of Iowa,1961,Des Moines,Iowa
1203,Derek Harper,193,83,University of Illinois at Urbana-Champaign,1961,Elberton,Georgia
1204,Roy Hinson,206,95,Rutgers University,1961,Trenton,New Jersey
1205,Charles Jones,206,97,Albany State University,1957,McGehee,Arkansas
1206,Mark Jones,206,102,Albany State University,1953,McGhee,Arkansas
1207,Greg Kite,211,113,Brigham Young University,1961,Houston,Texas
1208,Bruce Kuczenski,208,104,University of Connecticut,1961,Bristol,Connecticut
1209,Darrell Lockhart,206,111,Auburn University,1960,Thomaston,Georgia
1210,Sidney Lowe,183,88,North Carolina State University,1960,Washington,District of Columbia
1211,Jeff Malone,193,92,Mississippi State University,1961,Mobile,Alabama
1212,Pace Mannion,201,86,University of Utah,1960,Salt Lake City,Utah
1213,Rodney McCray,201,99,University of Louisville,1961,Mount Vernon,New York
1214,Scooter McCray,206,97,University of Louisville,1960,Mount Vernon,New York
1215,Larry Micheaux,206,99,University of Houston,1960,Houston,Texas
1216,Bob Miller,208,104,University of Cincinnati,1956,Louisville,Kentucky
1217,John Paxson,188,83,University of Notre Dame,1960,Dayton,Ohio
1218,John Pinone,203,104,Villanova University,1961,Hartford,Connecticut
1219,Tom Piotrowski,216,108,La Salle University,1960,West Chester,Pennsylvania
1220,Leo Rautins,203,97,Syracuse University,1960,Toronto,Canada
1221,Doc Rivers,193,83,Marquette University,1961,Chicago,Illinois
1222,Fred Roberts,208,98,Brigham Young University,1960,Provo,Utah
1223,Ralph Sampson*,224,103,University of Virginia,1960,Harrisonburg,Virginia
1224,Byron Scott,190,88,Arizona State University,1961,Ogden,Utah
1225,Steve Stipanovich,211,111,University of Missouri,1960,St. Louis,Missouri
1226,Jon Sundvold,188,77,University of Missouri,1961,Sioux Falls,South Dakota
1227,Dane Suttle,190,86,Pepperdine University,1961,Los Angeles,California
1228,Jim Thomas,190,86,Indiana University,1960,Lakeland,Florida
1229,Paul Thompson,198,95,Tulane University,1961,Smyrna,Tennessee
1230,Sedale Threatt,188,79,West Virginia University Institute of Technology,1961,Atlanta,Georgia
1231,Granville Waiters,211,102,Ohio State University,1961,Columbus,Ohio
1232,Darrell Walker,193,81,University of Arkansas,1961,Chicago,Illinois
1233,Brant Weidner,206,104,College of William & Mary,1960,Orefield,Pennsylvania
1234,Mark West,208,104,Old Dominion University,1960,Petersburg,Virginia
1235,Ennis Whatley,190,80,University of Alabama,1962,Birmingham,Alabama
1236,Mitchell Wiggins,193,83,Florida State University,1959,Lenoir County,North Carolina
1237,Kevin Williams,188,79,St. John's University,1961,New York,New York
1238,Michael Wilson,193,79,Marquette University,1959,Memphis,Tennessee
1239,Randy Wittman,198,95,Indiana University,1959,Indianapolis,Indiana
1240,Chuck Aleksinas,211,117,University of Connecticut,1959,Litchfield,Connecticut
1241,Ron Anderson,201,97,"California State University, Fresno",1958,Chicago,Illinois
1242,Ken Bannister,206,106,Saint Augustine's College,1960,Baltimore,Maryland
1243,Charles Barkley*,198,114,Auburn University,1963,Leeds,Alabama
1244,Cory Blackwell,198,95,University of Wisconsin,1963,Chicago,Illinois
1245,Sam Bowie,216,106,University of Kentucky,1961,Lebanon,Pennsylvania
1246,Frank Brickowski,206,108,Pennsylvania State University,1959,Bayville,New York
1247,Tony Brown,198,83,University of Arkansas,1960,Chicago,Illinois
1248,Steve Burtt,188,83,Iona College,1962,New York,New York
1249,Michael Cage,206,101,San Diego State University,1962,West Memphis,Arkansas
1250,Tony Campbell,201,97,Ohio State University,1962,Teaneck,New Jersey
1251,Rick Carlisle,196,95,University of Virginia,1959,Ogdensburg,New York
1252,Antoine Carr,206,102,Wichita State University,1961,Oklahoma City,Oklahoma
